,CensusTract,State,County,Urban,Pop2010,OHU2010,LA1and10,lapop20share,PovertyRate,MedianFamilyIncome,lahunvhalfshare,lasnaphalfshare,lakids1,LATracts10,Lat,Long
19,1003011405,Alabama,Baldwin County,1,3832,1795,1,0.0,6.7,105806.0,0.86,2.97,579.0,1,30.2990102,-87.5274714
20,1003011407,Alabama,Baldwin County,1,4799,2161,1,0.0,16.2,70230.0,2.72,2.67,465.0,1,30.2529493,-87.7563495
21,1003011501,Alabama,Baldwin County,1,5316,2219,1,0.0,14.2,58843.0,2.4,11.53,1029.0,1,30.4324484,-87.6790139
22,1003011502,Alabama,Baldwin County,1,10534,4330,1,0.0,11.6,57120.0,4.37,12.43,1178.0,1,30.3818256,-87.6623514
23,1005950100,Alabama,Barbour County,0,3321,1348,1,0.0,31.2,63398.0,12.13,24.27,727.0,1,32.0353533,-85.2477678
24,1005950300,Alabama,Barbour County,0,1638,673,1,0.0,34.4,42736.0,8.91,22.59,342.0,1,31.7908933,-85.5670514
25,1005950400,Alabama,Barbour County,0,4303,1188,1,0.0,26.7,36164.0,15.42,27.54,658.0,1,31.6794432,-85.5577196
26,1005950800,Alabama,Barbour County,1,2055,901,1,0.0,26.3,55306.0,1.97,8.83,109.0,1,31.920693,-85.1760317
27,1009050102,Alabama,Blount County,1,7050,2748,1,0.0,15.3,67554.0,4.33,8.2,876.0,1,33.9542982,-86.4647749
28,1011952100,Alabama,Bullock County,0,1434,612,1,0.0,43.0,27120.0,10.22,33.9,340.0,1,32.1157274,-85.5267341
29,1011952200,Alabama,Bullock County,1,7102,2117,1,0.0,40.4,33074.0,15.31,27.47,1005.0,1,32.1567,-85.701528
30,1011952500,Alabama,Bullock County,0,2378,1016,1,0.0,8.6,58380.0,4.58,8.91,527.0,1,32.0821273,-85.8274935
31,1013953000,Alabama,Butler County,0,1469,620,1,0.0,23.4,50217.0,1.83,10.28,330.0,1,31.8617983,-86.7608112
32,1013953100,Alabama,Butler County,1,3023,1153,1,0.0,37.3,30378.0,9.67,21.62,344.0,1,31.7968287,-86.6541421
33,1013953200,Alabama,Butler County,0,4327,1738,1,0.0,17.2,43456.0,5.86,21.39,764.0,1,31.7820079,-86.5213679
34,1015000400,Alabama,Calhoun County,1,2812,1182,1,0.0,36.6,35082.0,13.09,41.45,583.0,1,33.6823088,-85.8697658
35,1015000500,Alabama,Calhoun County,1,1814,787,1,0.0,52.0,17339.0,33.09,44.1,179.0,1,33.6626267,-85.8451981
36,1015000600,Alabama,Calhoun County,1,2191,745,1,0.0,53.0,13618.0,28.97,51.37,325.0,1,33.642039,-85.8410175
37,1015000700,Alabama,Calhoun County,1,2715,1189,1,0.0,37.7,41528.0,5.3,26.64,132.0,1,33.7077452,-85.791928
38,1015000800,Alabama,Calhoun County,1,1379,547,1,0.0,30.2,30333.0,16.31,31.34,142.0,1,33.6454724,-85.8270604
39,1015000900,Alabama,Calhoun County,1,3362,1597,1,0.0,20.9,62176.0,5.42,14.24,461.0,1,33.6454815,-85.7944733
40,1015001000,Alabama,Calhoun County,1,5792,2593,1,0.0,13.3,65847.0,1.5,4.96,286.0,1,33.6346413,-85.7900573
41,1015001100,Alabama,Calhoun County,1,6565,2634,1,0.0,8.9,76326.0,3.34,8.19,850.0,1,33.5929064,-85.7859837
42,1015001201,Alabama,Calhoun County,1,3482,1294,1,0.0,22.0,35729.0,2.32,10.27,243.0,1,33.6094979,-85.8477704
43,1015001202,Alabama,Calhoun County,1,4318,1609,1,0.0,9.7,54688.0,3.07,11.01,930.0,1,33.6104312,-85.8788873
44,1015001300,Alabama,Calhoun County,1,2211,865,1,0.0,21.0,47736.0,3.44,17.97,157.0,1,33.6445961,-85.8731746
45,1015001500,Alabama,Calhoun County,1,5198,2030,1,0.0,17.2,48945.0,8.75,18.25,758.0,1,33.6143082,-85.9239914
46,1015001600,Alabama,Calhoun County,1,3791,1489,1,0.0,22.2,45250.0,1.5,27.58,508.0,1,33.6982109,-85.8652855
47,1015001700,Alabama,Calhoun County,1,6329,2561,1,0.0,13.0,61242.0,3.52,11.39,633.0,1,33.7273426,-85.8442943
48,1015001800,Alabama,Calhoun County,1,6919,2671,1,0.0,15.3,56972.0,3.2,15.23,1800.0,1,33.7661796,-85.7864612
49,1015002101,Alabama,Calhoun County,1,3992,1333,1,0.0,47.6,52500.0,9.81,20.69,162.0,1,33.8369688,-85.7723498
50,1015002102,Alabama,Calhoun County,1,3411,1428,1,0.0,13.9,80625.0,0.0,10.95,492.0,1,33.8356877,-85.7377431
51,1015002103,Alabama,Calhoun County,1,6801,2851,1,0.0,25.3,47159.0,3.54,16.47,336.0,1,33.7968202,-85.7593266
52,1015002200,Alabama,Calhoun County,1,3652,1494,1,0.0,16.6,54063.0,1.36,10.15,376.0,1,33.8952637,-85.5983598
53,1017954400,Alabama,Chambers County,1,995,445,1,0.0,31.3,52857.0,13.58,4.64,83.0,1,32.847603,-85.1968765
54,1017954500,Alabama,Chambers County,1,3804,1578,1,0.0,21.7,47817.0,3.6,16.23,176.0,1,32.8580358,-85.2066713
55,1017954600,Alabama,Chambers County,1,3411,1415,1,0.0,10.9,44485.0,8.88,12.34,243.0,1,32.8362807,-85.1725763
56,1017954700,Alabama,Chambers County,1,4852,1868,1,0.0,17.3,52389.0,5.76,15.2,948.0,1,32.7701994,-85.1744758
57,1019956000,Alabama,Cherokee County,1,4017,1676,1,0.0,13.8,57692.0,10.53,12.45,598.0,1,34.1662695,-85.6538832
58,1021060102,Alabama,Chilton County,1,6303,2508,1,0.0,20.1,63956.0,10.06,19.39,1003.0,1,32.8695805,-86.6588881
59,1023956700,Alabama,Choctaw County,0,3184,1419,1,0.0,26.1,50673.0,15.09,28.46,674.0,1,32.270011,-88.206997
60,1023957000,Alabama,Choctaw County,0,2373,949,1,0.0,31.1,42536.0,7.18,24.89,593.0,1,31.759107,-88.3016638
61,1025957601,Alabama,Clarke County,0,998,377,1,0.0,21.5,49359.0,7.91,15.56,236.0,1,31.8884818,-87.8913637
62,1025957602,Alabama,Clarke County,1,5515,2236,1,0.0,11.9,65053.0,7.65,14.49,854.0,1,31.9121978,-87.6935962
63,1025957700,Alabama,Clarke County,0,1329,572,1,0.0,31.5,48304.0,4.48,17.99,293.0,1,31.8398667,-88.059381
64,1025957800,Alabama,Clarke County,0,5488,2199,1,0.0,26.7,57450.0,8.91,18.1,1014.0,1,31.6170174,-87.6979772
65,1025957902,Alabama,Clarke County,1,4230,1667,1,0.0,30.9,52440.0,13.47,18.19,843.0,1,31.5011616,-87.8723338
66,1025958002,Alabama,Clarke County,0,1731,636,1,0.0,44.4,40000.0,25.8,25.24,486.0,1,31.3573817,-87.8407503
67,1031010100,Alabama,Coffee County,0,2057,828,1,0.0,21.9,51719.0,3.98,17.9,530.0,1,31.5629467,-86.0563149
68,1031010200,Alabama,Coffee County,0,1841,765,1,0.0,13.7,64333.0,4.43,11.5,394.0,1,31.5375844,-85.8984006
69,1031011000,Alabama,Coffee County,1,3526,1348,1,0.0,11.5,62829.0,4.77,13.28,613.0,1,31.3220746,-85.8920299
70,1031011201,Alabama,Coffee County,1,8036,3034,1,0.0,6.1,88794.0,0.74,2.51,1489.0,1,31.3627415,-85.8358305
71,1031011202,Alabama,Coffee County,1,8530,3512,1,0.0,15.8,63511.0,3.41,9.33,1267.0,1,31.3284083,-85.8089085
72,1031011300,Alabama,Coffee County,1,4160,1634,1,0.0,32.6,40909.0,22.32,20.86,187.0,1,31.3016253,-85.8231428
73,1033020100,Alabama,Colbert County,1,3467,1601,1,0.0,24.2,45659.0,11.95,20.16,308.0,1,34.7695045,-87.6805197
74,1033020400,Alabama,Colbert County,1,1530,632,1,0.0,4.8,68000.0,1.49,2.16,250.0,1,34.7497044,-87.719623
75,1033020500,Alabama,Colbert County,1,5221,2147,1,0.0,15.0,60304.0,1.73,7.55,691.0,1,34.7186239,-87.7268835
76,1033020600,Alabama,Colbert County,1,4128,1916,1,0.0,20.1,53381.0,6.69,17.9,228.0,1,34.7190236,-87.6783975
77,1033020701,Alabama,Colbert County,1,6103,2365,1,0.0,8.7,75395.0,1.91,4.42,1402.0,1,34.7241056,-87.6262632
78,1033020703,Alabama,Colbert County,1,5175,2184,1,0.0,9.0,72096.0,7.06,7.8,988.0,1,34.7471222,-87.6398474
79,1033020802,Alabama,Colbert County,0,3766,1552,1,0.0,17.6,53091.0,4.9,11.04,773.0,1,34.6517425,-87.5574471
80,1035960200,Alabama,Conecuh County,0,1808,755,1,0.0,18.9,39970.0,2.71,21.89,407.0,1,31.5889624,-87.0102902
81,1035960300,Alabama,Conecuh County,0,1731,722,1,0.0,20.0,50188.0,8.7,14.68,381.0,1,31.3559372,-87.2429336
82,1035960400,Alabama,Conecuh County,0,3251,1424,1,0.0,17.1,44783.0,6.39,11.65,665.0,1,31.3411108,-87.0387457
83,1035960600,Alabama,Conecuh County,0,4667,1979,1,0.0,28.0,38657.0,2.21,17.27,512.0,1,31.3854843,-86.8079409
84,1037961100,Alabama,Coosa County,0,3927,1594,1,0.0,11.3,51719.0,2.73,11.65,819.0,1,33.0033478,-86.3347023
85,1037961200,Alabama,Coosa County,0,3656,1582,1,0.0,7.9,48015.0,3.68,7.6,672.0,1,32.824368,-86.1981046
86,1039961700,Alabama,Covington County,0,4032,1685,1,0.0,20.2,54824.0,2.36,13.55,853.0,1,31.3784363,-86.614981
87,1039962100,Alabama,Covington County,1,2011,772,1,0.0,31.1,41385.0,7.0,17.34,136.0,1,31.326445,-86.507274
88,1039962700,Alabama,Covington County,1,1686,711,1,0.0,31.3,35493.0,11.71,22.5,265.0,1,31.2623346,-86.2376734
89,1039962900,Alabama,Covington County,0,1846,753,1,0.0,9.8,79271.0,3.01,3.53,404.0,1,31.1195838,-86.5873825
90,1041963400,Alabama,Crenshaw County,0,1925,777,1,0.0,4.3,56852.0,6.86,18.54,489.0,1,31.8829739,-86.257977
91,1041963500,Alabama,Crenshaw County,0,1903,737,1,0.0,20.7,61466.0,3.08,14.79,471.0,1,31.9513689,-86.3662102
92,1041963600,Alabama,Crenshaw County,0,3180,1282,1,0.0,15.1,43021.0,5.69,18.74,601.0,1,31.7244285,-86.3608435
93,1043964900,Alabama,Cullman County,1,6683,2646,1,0.0,15.8,65506.0,2.75,7.81,875.0,1,34.2009197,-86.825227
94,1043965000,Alabama,Cullman County,1,6071,2610,1,0.0,15.1,49883.0,4.58,10.75,347.0,1,34.1526102,-86.8389678
95,1043965700,Alabama,Cullman County,0,2652,1039,1,0.0,20.2,51477.0,3.39,12.8,614.0,1,33.9216781,-87.0105855
96,1045020100,Alabama,Dale County,0,3823,1538,1,0.0,16.0,56393.0,1.59,23.73,819.0,1,31.5551176,-85.6558628
97,1045020300,Alabama,Dale County,1,2396,965,1,0.0,7.8,54922.0,4.81,15.76,548.0,1,31.4380274,-85.5632565
98,1045020500,Alabama,Dale County,1,2049,900,1,0.0,26.3,41078.0,7.7,21.15,151.0,1,31.4510947,-85.6185143
99,1045020802,Alabama,Dale County,1,4351,1878,1,0.0,17.8,60357.0,6.66,15.33,495.0,1,31.4149425,-85.6413488
100,1045021101,Alabama,Dale County,1,4893,1869,1,0.0,14.5,63064.0,1.85,17.28,1248.0,1,31.3169064,-85.7680896
101,1047956300,Alabama,Dallas County,1,3791,1539,1,0.0,42.8,26862.0,12.18,31.9,208.0,1,32.4484185,-87.0509577
102,1047956701,Alabama,Dallas County,1,1855,771,1,0.0,12.9,75563.0,0.94,4.38,112.0,1,32.405323,-87.0713872
103,1047956800,Alabama,Dallas County,1,2789,1106,1,0.0,35.4,58056.0,20.92,24.58,211.0,1,32.4240901,-87.0568535
104,1047956900,Alabama,Dallas County,0,2804,1145,1,0.0,38.7,40000.0,15.43,37.19,667.0,1,32.3256691,-87.2191795
105,1047957000,Alabama,Dallas County,0,1274,535,1,7.27,22.0,31133.0,9.22,24.05,318.0,1,32.1608409,-87.0492697
106,1051030800,Alabama,Elmore County,1,5784,2308,1,0.0,9.7,61823.0,3.15,6.9,1200.0,1,32.5610711,-86.2497127
107,1051030901,Alabama,Elmore County,1,6234,2051,1,0.0,1.5,92500.0,5.79,5.77,1491.0,1,32.5469081,-86.3854177
108,1051031000,Alabama,Elmore County,1,6516,2476,1,0.0,25.1,58750.0,2.37,14.19,490.0,1,32.4977055,-86.3883595
109,1051031100,Alabama,Elmore County,1,4221,1542,1,0.0,9.4,83010.0,1.16,10.85,859.0,1,32.5107959,-86.3562804
110,1053969800,Alabama,Escambia County,0,5955,2373,1,0.0,20.2,42191.0,1.95,15.57,1104.0,1,31.0992573,-86.9100675
111,1053970200,Alabama,Escambia County,1,1739,655,1,0.0,47.4,25938.0,9.41,34.58,236.0,1,31.1141013,-87.0635204
112,1053970400,Alabama,Escambia County,0,5744,1108,1,0.0,18.9,57012.0,5.27,8.31,720.0,1,31.1860534,-87.4694458
113,1053970700,Alabama,Escambia County,1,3518,1470,1,0.0,18.4,45606.0,2.36,8.98,225.0,1,31.01535,-87.4358347
114,1055000200,Alabama,Etowah County,1,3660,1445,1,0.0,29.4,34452.0,5.99,28.52,587.0,1,34.0321863,-85.9730613
115,1055000400,Alabama,Etowah County,1,3866,1638,1,0.0,14.8,76362.0,2.15,7.88,676.0,1,34.0476377,-86.0344203
116,1055000500,Alabama,Etowah County,1,1814,772,1,0.0,32.7,31985.0,2.46,20.33,399.0,1,34.0303528,-86.0473351
117,1055000600,Alabama,Etowah County,1,1964,807,1,0.0,30.3,28220.0,6.24,29.53,458.0,1,34.015731,-86.0608761
118,1055000700,Alabama,Etowah County,1,1376,547,1,0.0,55.5,18000.0,15.67,47.6,159.0,1,34.023721,-86.0392767
119,1055000900,Alabama,Etowah County,1,2698,1056,1,0.0,19.5,35918.0,8.85,18.89,498.0,1,34.0003469,-86.0427603
120,1055001100,Alabama,Etowah County,1,4729,1957,1,0.0,2.8,93507.0,2.41,1.92,582.0,1,33.9569465,-85.9968726
121,1055001600,Alabama,Etowah County,1,3524,1396,1,0.0,28.7,53949.0,5.66,12.49,495.0,1,33.9780622,-85.9775275
122,1055001700,Alabama,Etowah County,1,1638,830,1,0.0,27.0,40000.0,5.32,14.5,192.0,1,33.9825311,-85.9518384
123,1055010200,Alabama,Etowah County,1,5518,2176,1,0.0,5.4,46941.0,4.99,12.85,682.0,1,34.002651,-86.1081054
124,1055010401,Alabama,Etowah County,1,3471,1557,1,0.0,23.6,46085.0,0.69,13.24,261.0,1,33.9640619,-86.041835
125,1055010501,Alabama,Etowah County,1,8191,3160,1,0.0,6.9,83358.0,1.81,4.06,1531.0,1,33.8977233,-86.029671
126,1055010502,Alabama,Etowah County,1,4988,2041,1,0.0,4.5,72138.0,0.0,8.88,1046.0,1,33.918413,-85.9183325
127,1055010601,Alabama,Etowah County,1,5295,2168,1,0.0,10.2,67179.0,1.68,5.83,796.0,1,33.9809286,-85.866789
128,1055010700,Alabama,Etowah County,1,3769,1468,1,0.0,11.0,55147.0,5.37,5.58,839.0,1,34.0726595,-85.8991944
129,1059973000,Alabama,Franklin County,1,5373,2000,1,0.0,24.9,46392.0,1.57,8.83,364.0,1,34.5412526,-87.718135
130,1059973200,Alabama,Franklin County,1,3919,1410,1,0.0,27.1,48802.0,6.76,19.52,581.0,1,34.504272,-87.7560237
131,1061050300,Alabama,Geneva County,1,5412,2213,1,0.0,33.2,40282.0,3.78,10.79,503.0,1,31.0500253,-85.9115696
132,1063060000,Alabama,Greene County,0,1814,753,1,0.0,40.3,30625.0,13.49,32.98,415.0,1,32.9586918,-88.0509235
133,1063060200,Alabama,Greene County,0,2821,1184,1,0.0,46.5,27167.0,11.24,48.14,711.0,1,32.6861323,-87.9472665
134,1065040000,Alabama,Hale County,0,3534,1370,1,0.0,18.2,55929.0,8.28,17.17,864.0,1,32.9331144,-87.55181
135,1065040100,Alabama,Hale County,0,1582,681,1,0.0,21.8,55764.0,6.53,16.23,331.0,1,32.8612587,-87.6980338
136,1065040500,Alabama,Hale County,0,1562,631,1,0.0,30.2,39605.0,15.53,28.49,382.0,1,32.5434531,-87.6369956
137,1067030500,Alabama,Henry County,1,5951,2340,1,0.0,9.0,64744.0,2.67,14.03,929.0,1,31.353789,-85.3162167
138,1069040201,Alabama,Houston County,1,9001,3759,1,0.0,7.8,78845.0,1.4,2.51,1124.0,1,31.2196688,-85.4664605
139,1069040202,Alabama,Houston County,1,8142,3258,1,0.0,5.6,93542.0,1.15,2.09,510.0,1,31.2553447,-85.4614544
140,1069040301,Alabama,Houston County,1,3928,1755,1,0.0,17.0,49857.0,4.5,11.56,285.0,1,31.2531951,-85.4134185
141,1069040302,Alabama,Houston County,1,3589,1457,1,0.0,21.1,41719.0,4.01,12.88,171.0,1,31.2755042,-85.4348318
142,1069040900,Alabama,Houston County,1,4657,1867,1,0.0,11.8,67500.0,2.06,9.01,552.0,1,31.1821867,-85.3530811
143,1069041400,Alabama,Houston County,1,3093,1118,1,0.0,38.5,31923.0,15.36,33.91,203.0,1,31.2388804,-85.3512422
144,1069041500,Alabama,Houston County,1,4173,1724,1,0.0,30.4,44659.0,16.96,27.23,309.0,1,31.277139,-85.3841364
145,1069042000,Alabama,Houston County,0,5683,2315,1,0.0,19.1,52278.0,4.96,14.98,1226.0,1,31.0704936,-85.3000476
146,1071950200,Alabama,Jackson County,1,3516,1458,1,0.0,29.8,41444.0,4.41,11.58,348.0,1,34.9668472,-85.7774458
147,1071950400,Alabama,Jackson County,0,2119,839,1,0.0,21.9,48750.0,0.62,12.9,451.0,1,34.8787834,-86.2279366
148,1071950600,Alabama,Jackson County,0,5951,2389,1,0.0,19.2,52663.0,3.59,7.57,1098.0,1,34.7615314,-86.0476196
149,1071950800,Alabama,Jackson County,1,4059,1660,1,0.0,26.0,45365.0,7.64,14.64,212.0,1,34.6633617,-86.0358725
150,1073000100,Alabama,Jefferson County,1,3042,1128,1,0.0,39.7,32107.0,17.57,27.62,261.0,1,33.5797341,-86.7230133
151,1073000300,Alabama,Jefferson County,1,2735,1031,1,0.0,47.0,19948.0,23.11,46.72,392.0,1,33.5428209,-86.752434
152,1073000400,Alabama,Jefferson County,1,3338,1187,1,0.0,32.6,33629.0,17.98,38.57,898.0,1,33.5632451,-86.7640477
153,1073000500,Alabama,Jefferson County,1,2864,1190,1,0.0,30.4,39047.0,27.97,36.69,648.0,1,33.5442405,-86.7749128
154,1073000700,Alabama,Jefferson County,1,2577,958,1,0.0,59.1,15510.0,22.54,53.69,325.0,1,33.5525405,-86.8016893
155,1073000800,Alabama,Jefferson County,1,3859,1658,1,0.0,31.7,31250.0,12.7,12.44,123.0,1,33.5499025,-86.8329641
156,1073001100,Alabama,Jefferson County,1,5355,2108,1,0.0,18.2,46628.0,17.41,28.45,1360.0,1,33.5423337,-86.8765161
157,1073001200,Alabama,Jefferson County,1,2876,1237,1,0.0,19.0,51117.0,13.71,25.56,487.0,1,33.5253464,-86.8658012
158,1073001400,Alabama,Jefferson County,1,2181,930,1,0.0,16.8,51250.0,6.1,21.84,449.0,1,33.5261497,-86.8351469
159,1073001500,Alabama,Jefferson County,1,3189,1350,1,0.0,39.7,30021.0,27.57,39.33,312.0,1,33.5298725,-86.8197194
160,1073001600,Alabama,Jefferson County,1,3390,1089,1,0.0,35.4,46660.0,19.69,32.89,468.0,1,33.5372993,-86.8036592
161,1073002100,Alabama,Jefferson County,1,3186,1209,1,0.0,26.8,35163.0,11.36,35.58,344.0,1,33.5650016,-86.7101022
162,1073002305,Alabama,Jefferson County,1,2952,1410,1,0.0,15.4,77598.0,4.32,6.54,228.0,1,33.5333417,-86.7479567
163,1073002306,Alabama,Jefferson County,1,3259,1689,1,0.0,10.2,93250.0,1.51,5.15,210.0,1,33.5230233,-86.7457554
164,1073002400,Alabama,Jefferson County,1,3629,1593,1,0.0,45.0,30179.0,15.11,21.41,700.0,1,33.5260747,-86.7830317
165,1073002900,Alabama,Jefferson County,1,2064,1066,1,0.0,40.5,36573.0,55.3,43.74,327.0,1,33.5132498,-86.8300472
166,1073003001,Alabama,Jefferson County,1,3779,1004,1,0.0,29.6,41550.0,15.52,35.38,593.0,1,33.5125157,-86.8577165
167,1073003002,Alabama,Jefferson County,1,2203,971,1,0.0,48.4,26000.0,28.47,45.48,466.0,1,33.5122579,-86.8441439
168,1073003100,Alabama,Jefferson County,1,3637,1412,1,0.0,42.0,30993.0,17.85,28.82,477.0,1,33.5059655,-86.8745508
169,1073003500,Alabama,Jefferson County,1,2795,1010,1,0.0,28.0,40230.0,20.0,26.06,585.0,1,33.5056238,-86.924273
170,1073003600,Alabama,Jefferson County,1,4683,1857,1,0.0,17.1,51136.0,11.34,15.42,461.0,1,33.4847638,-86.8981395
171,1073003802,Alabama,Jefferson County,1,5409,1988,1,0.0,21.7,42459.0,5.66,14.84,389.0,1,33.4785702,-86.890002
172,1073003900,Alabama,Jefferson County,1,1783,747,1,0.0,36.7,31250.0,11.64,18.89,268.0,1,33.498996,-86.8647606
173,1073004000,Alabama,Jefferson County,1,3772,1699,1,0.0,43.6,30139.0,31.64,35.11,89.0,1,33.4953245,-86.8516236
174,1073005302,Alabama,Jefferson County,1,3463,1455,1,0.0,8.7,79050.0,1.16,6.39,403.0,1,33.576665,-86.6965055
175,1073005500,Alabama,Jefferson County,1,2167,839,1,0.0,48.9,23073.0,25.61,50.7,589.0,1,33.5638545,-86.8071653
176,1073005701,Alabama,Jefferson County,1,2372,1020,1,0.0,19.5,47917.0,10.03,26.29,419.0,1,33.4628029,-86.8901343
177,1073005702,Alabama,Jefferson County,1,3413,1418,1,0.0,30.4,34063.0,9.25,23.43,441.0,1,33.469869,-86.8742909
178,1073005800,Alabama,Jefferson County,1,4216,2101,1,0.0,26.6,44734.0,2.53,13.89,198.0,1,33.4775177,-86.8149403
179,1073005903,Alabama,Jefferson County,1,4950,2025,1,0.0,20.0,57597.0,5.19,15.98,183.0,1,33.596713,-86.6763136
180,1073005905,Alabama,Jefferson County,1,5174,2026,1,0.0,19.9,45995.0,4.41,12.32,147.0,1,33.6045342,-86.7006215
181,1073005907,Alabama,Jefferson County,1,2096,780,1,0.0,6.6,67891.0,0.69,8.07,303.0,1,33.6146111,-86.6690118
182,1073005909,Alabama,Jefferson County,1,2539,952,1,0.0,22.6,55339.0,2.04,16.16,556.0,1,33.611928,-86.720809
183,1073005910,Alabama,Jefferson County,1,5234,1925,1,0.0,15.1,70154.0,3.58,18.07,1322.0,1,33.6294784,-86.7180087
184,1073010002,Alabama,Jefferson County,1,4932,1935,1,0.0,11.6,49279.0,0.66,11.89,138.0,1,33.425351,-86.991266
185,1073010100,Alabama,Jefferson County,1,2007,782,1,0.0,38.5,36319.0,25.57,25.7,331.0,1,33.4167763,-86.9517238
186,1073010302,Alabama,Jefferson County,1,4117,1601,1,0.0,40.6,28664.0,19.06,57.68,794.0,1,33.4095979,-86.9378733
187,1073010402,Alabama,Jefferson County,1,1855,737,1,0.0,14.7,54327.0,3.49,12.15,358.0,1,33.3849089,-86.978314
188,1073010500,Alabama,Jefferson County,1,1628,613,1,0.0,26.8,33365.0,21.4,35.29,404.0,1,33.4295731,-86.9179464
189,1073010602,Alabama,Jefferson County,1,6266,2281,1,0.0,37.4,32130.0,14.97,23.12,1042.0,1,33.4816859,-86.9143449
190,1073010603,Alabama,Jefferson County,1,2437,925,1,0.0,13.2,56681.0,8.03,8.58,165.0,1,33.4663828,-86.9227946
191,1073010701,Alabama,Jefferson County,1,2218,935,1,0.0,15.3,96563.0,1.95,9.21,264.0,1,33.4777026,-86.8080481
192,1073010706,Alabama,Jefferson County,1,4880,2350,1,0.0,17.2,64130.0,5.18,6.05,60.0,1,33.4502637,-86.8337369
193,1073010803,Alabama,Jefferson County,1,6514,2493,1,0.0,11.3,97760.0,1.84,6.86,275.0,1,33.5124499,-86.7174833
194,1073010805,Alabama,Jefferson County,1,7367,2773,1,0.0,7.1,151198.0,0.38,2.23,1222.0,1,33.5026862,-86.6977468
195,1073010900,Alabama,Jefferson County,1,4989,1814,1,0.0,31.4,28505.0,8.64,36.13,483.0,1,33.579611,-86.7705022
196,1073011001,Alabama,Jefferson County,1,5663,2358,1,0.0,8.9,81417.0,0.89,3.05,367.0,1,33.5380787,-86.5504293
197,1073011104,Alabama,Jefferson County,1,7903,3117,1,0.0,13.1,60907.0,1.91,9.63,1332.0,1,33.6373216,-86.6374915
198,1073011107,Alabama,Jefferson County,1,10433,3650,1,0.0,8.8,94025.0,2.48,5.02,1894.0,1,33.6062979,-86.5848428
199,1073011109,Alabama,Jefferson County,1,4123,1570,1,0.0,3.1,100458.0,3.26,1.48,387.0,1,33.6480151,-86.5814435
200,1073011111,Alabama,Jefferson County,1,8018,2966,1,0.0,8.9,93425.0,1.53,5.21,1097.0,1,33.6820067,-86.5682905
201,1073011205,Alabama,Jefferson County,1,2087,845,1,0.0,5.1,77552.0,1.97,6.55,244.0,1,33.689465,-86.6649581
202,1073011206,Alabama,Jefferson County,1,5686,2094,1,0.0,11.0,79199.0,1.74,10.8,1298.0,1,33.7408881,-86.6500037
